;factor2
1279;2,5454545455
1280;2,4545454545
1281;3,3333333333
1282;1,5454545455
1283;3,5
1284;3
1285;2,9
1286;3,0833333333
1287;3,6666666667
1288;3,2
1289;3,6666666667
1290;3,125
1291;2,875
1292;2,5833333333
1293;3,2222222222
1294;3,8333333333
1295;3,2727272727
1296;2,9166666667
1297;3,9166666667
1298;2,5833333333
1299;2,4166666667
1300;3
1301;3,5833333333
1302;2,7
1303;3,5
1304;2,7142857143
1305;4
1306;3,1666666667
1307;3,25
1308;2,6
1309;3,9
1310;3,6666666667
1311;3,0909090909
1312;3,2727272727
1313;3,0833333333
1314;3
1315;3
1316;3,5
1317;3,4
1318;3,6
1319;4
1320;4
1321;2,5454545455
1322;2,8333333333
1323;4
1324;2,8181818182
1325;3,3333333333
1326;3,1111111111
1327;2,6
1328;3,9
1329;3
1330;3,8181818182
1331;3,8333333333
1332;3,5833333333
1333;2,75
1334;3
1335;2,8333333333
1336;2,9166666667
1337;3,1111111111
1338;2,6666666667
1339;3,2222222222
1340;3,75
1341;3,8571428571
1342;3,5833333333
1343;3,8
1344;3,4166666667
1345;3,25
1346;3,7777777778
1347;3,5
1348;3,6666666667
1349;3,5555555556
1350;2,8888888889
1351;3,4285714286
1352;3,3333333333
1353;1,5454545455
1354;2,9166666667
1355;4
1356;3,25
1357;3,4166666667
1358;3,7272727273
1359;3,1
1360;3
1361;2,4166666667
1362;3
1363;2,2222222222
1364;2,8181818182
1365;3,625
1366;4
1367;2,125
1368;2,3
1369;2,3333333333
1370;2,5
1371;2,6666666667
1372;2,9090909091
1373;3,75
1374;2,4545454545
1375;2,6666666667
1376;4
1377;3,9166666667
1378;3,7777777778
1379;3
1380;3,9166666667
1381;2,9166666667
1382;2,7272727273
1383;2,9090909091
1384;3,1818181818
1385;2,4545454545
1386;3,3333333333
1387;3,8333333333
1388;3,5833333333
1389;3,7777777778
1390;3
1391;4
1392;3
1393;3,3333333333
1394;2,4166666667
1395;3,5714285714
1396;2,0909090909
1397;1,5454545455
1398;3,7777777778
1399;1,8333333333
1400;3,7272727273
1401;3,5
1402;3,8888888889
1403;3,75
1404;2,6666666667
1405;2,4
1406;3,25
1407;2,8888888889
1408;2,9166666667
1409;1,9166666667
1410;2,25
1411;2,2727272727
1412;1,4
1413;3,5833333333
1414;2,9090909091
1415;3,1428571429
1416;2,9
1417;3,6666666667
1418;3,9166666667
1419;3,6363636364
1420;3,1666666667
1421;3,4545454545
1422;3,1818181818
1423;3,2727272727
1424;2,7142857143
1425;3,6666666667
1426;3,1666666667
1427;3,0833333333
1428;2,5
1429;2,125
1430;3,3
1431;3,9166666667
1432;4
1433;3,5833333333
1434;3,75
1435;3,375
1436;3,4
1437;3,5
1438;3,8888888889
1439;3,4166666667
1440;3,9166666667
1441;3,4
1442;3,9
1443;3,75
1444;3,8181818182
1445;4
1446;3,3333333333
1447;3,5
1448;2,6666666667
1449;3,5833333333
1450;3,75
1451;4
1452;2,1666666667
1453;2,7
1454;3,2727272727
1455;3
1456;2,4545454545
1457;3
1458;3,375
1459;3,3636363636
1460;2,0833333333
1461;1,625
1462;3,7
1463;3,6666666667
1464;3,5
1465;3,75
1466;3,8333333333
1467;3,9166666667
1468;3,9166666667
1469;4
1470;4
1471;3,4545454545
1472;2,2727272727
1473;2,7142857143
1474;3,25
1475;4
1476;2,5833333333
1477;3,9
1478;2,7777777778
1479;2,7777777778
1480;2,75
1481;4
1482;3
1483;3,7777777778
1484;4
1485;3
1486;2,6666666667
1487;2,5833333333
1488;3,0909090909
1489;3,8
1490;2,5
1491;2,8181818182
1492;3,7
1493;3,875
1494;2,3333333333
1495;3
1496;2,8888888889
1497;3,5555555556
1498;3
1499;2,5833333333
1500;3,6666666667
1501;4
1502;2,8181818182
1503;3,5
1504;3,5833333333
1505;3,3333333333
1506;2,4545454545
1507;3,1666666667
1508;1,4545454545
1509;3,5454545455
1510;1,25
1511;3,6666666667
1512;2,75
1513;2,5
1514;3,3636363636
1515;2,8571428571
1516;2,75
1517;2,7
1518;2,2727272727
1519;3,4
1520;2,75
1521;2,3333333333
1522;2,8333333333
1523;2,75
1524;2,7
1525;2,3
1526;3,1666666667
1527;2,3333333333
1528;2,9166666667
1529;3,4545454545
1530;3,4166666667
1531;2,6363636364
1532;2,6363636364
1533;3,25
1534;1,6666666667
1535;2,75
1536;2,8181818182
1537;2,8181818182
1538;3,5833333333
1539;3,25
1540;3,1666666667
1541;3,25
1542;3,4166666667
1543;2,8181818182
1544;2,6
1545;3,8333333333
1546;2,6
1547;3
1548;3,1666666667
1549;3,25
1550;2,5
1551;2,6363636364
1552;2,6666666667
1553;2,875
1554;2,8333333333
1555;2
1556;3,6363636364
1557;3,25
1558;3,1
1559;3,5
1560;3,75
1561;3,1666666667
1562;3,4545454545
1563;3,5
1564;2,5833333333
1565;3,1818181818
1566;3,6666666667
1567;3,7272727273
1568;3,2727272727
1569;2,9166666667
1570;2,5
1571;2,3636363636
1572;1,5833333333
1573;2,8333333333
1574;4
1575;3,6363636364
1576;3,3636363636
1577;2,9
1578;3,5454545455
1579;3
1580;2,8333333333
1581;3,6666666667
1582;3,4166666667
1583;4
1584;3,75
1585;3,6666666667
1586;3
1587;3,6666666667
1588;3,75
1589;3,9166666667
1590;3,1666666667
1591;2,6363636364
1592;3,8181818182
1593;3,9166666667
1594;3,6666666667
1595;3,5833333333
1596;3,5833333333
1597;1,75
1598;2,6666666667
1599;3,6
1600;2,1666666667
1601;2,8333333333
1602;3,0833333333
1603;3,4166666667
1604;2,9166666667
1605;2,6666666667
1606;3
1607;2,75
1608;2,875
1609;2,5
1610;3,5
