gespr8.1;anspr8.2;ofohr8.3;austs8.4;infrm8.5;etwgs8.6;ptner8.7;ausef8.8;auflt8.9;mitw8.10;eamt8.11;hosp8.12;pdar8.13;eins8.14;besw8.15;ents8.16;eazf8.17;ifpd8.18;betl8.19;gsmt8.20;Kitadauer;Alter;Austausch;Beteiligung
4;3;3;4;4;4;3;3;4;3;2;3;3;NA;3;4;4;3;4;4;2;3;3,5;3,2727272727
4;4;1;4;3;2;3;3;3;1;3;3;1;2;2;1;2;2;3;2;4;6;3;2
4;4;2;4;2;4;2;1;3;1;3;3;2;1;3;1;2;2;3;2;4;5;2,7777777778;2,1666666667
4;4;4;4;3;3;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;5;3,7777777778;3,8333333333
2;3;2;2;1;NA;2;1;4;2;2;NA;2;2;NA;2;NA;NA;NA;2;1;3;1,8571428571;2,2857142857
3;3;2;3;3;3;2;2;2;2;2;2;2;2;3;2;2;3;2;2;4;6;2,6666666667;2,1666666667
3;2;NA;3;2;3;1;1;3;2;2;2;3;2;NA;2;4;3;3;2;2;3;2,125;2,6
3;3;NA;3;2;2;1;1;3;2;2;2;3;2;NA;1;3;3;3;2;4;5;2,125;2,4
1;3;3;2;1;3;NA;1;4;4;NA;NA;2;2;3;NA;2;3;3;2;2;4;2;2,8888888889
3;3;NA;3;1;1;1;1;2;NA;NA;NA;3;NA;2;2;3;3;3;2;2;5;1,875;2,5714285714
3;3;3;3;2;2;2;2;1;NA;NA;NA;3;NA;2;2;3;3;3;2;1;3;2,375;2,5
4;4;3;4;3;3;3;3;2;NA;3;3;3;2;3;3;3;2;3;2;2;5;3,2222222222;2,7272727273
4;4;4;4;4;4;4;4;4;4;3;2;3;3;4;3;3;3;3;4;3;4;3,8888888889;3,25
4;4;4;4;4;NA;4;4;4;4;4;NA;4;4;4;4;NA;4;NA;4;1;4;4;4
4;4;NA;3;4;NA;NA;NA;2;NA;4;NA;4;4;4;NA;NA;NA;NA;4;1;3;3,8333333333;3,6
4;4;4;NA;4;4;4;NA;NA;4;NA;NA;NA;4;4;4;4;4;4;4;4;5;4;4
4;4;4;NA;NA;4;4;NA;4;4;NA;NA;4;4;4;4;4;4;4;4;2;3;4;4
4;4;4;4;4;NA;4;4;3;3;4;3;4;4;4;4;4;4;4;4;2;5;4;3,75
4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;2;3;4;3,8333333333
